epoch,step,train_loss_epoch,train_loss_step,val_loss
0,0,,,2.2947022914886475
0,0,2.317744731903076,,
1,1,,,2.3039462566375732
1,1,2.3132662773132324,,
2,2,,,2.3132965564727783
2,2,2.308875560760498,,
3,3,,,2.3228678703308105
3,3,2.3045578002929688,,
4,4,,,2.332785129547119
4,4,2.3002867698669434,,
5,5,,,2.3431410789489746
5,5,2.2960360050201416,,
6,6,,,2.3539936542510986
6,6,2.291776180267334,,
7,7,,,2.365410327911377
7,7,2.2874763011932373,,
8,8,,,2.3775007724761963
8,8,2.2831013202667236,,
9,9,,,2.3904271125793457
9,9,2.2786073684692383,,
10,10,,,2.4044032096862793
10,10,2.27394437789917,,
11,11,,,2.4196958541870117
11,11,2.2690532207489014,,
12,12,,,2.436631202697754
12,12,2.263864517211914,,
13,13,,,2.455613374710083
13,13,2.2582976818084717,,
14,14,,,2.4771556854248047
14,14,2.2522568702697754,,
15,15,,,2.50193190574646
15,15,2.2456226348876953,,
16,16,,,2.530853509902954
16,16,2.238246440887451,,
17,17,,,2.5651988983154297
17,17,2.229937791824341,,
18,18,,,2.606832504272461
18,18,2.2204456329345703,,
19,19,,,2.6585915088653564
19,19,2.2094321250915527,,
20,20,,,2.7250008583068848
20,20,2.1964292526245117,,
21,21,,,2.813655376434326
21,21,2.1807713508605957,,
22,22,,,2.9377472400665283
22,22,2.1615145206451416,,
23,23,,,3.118818759918213
23,23,2.137406587600708,,
24,24,,,3.378970146179199
24,24,2.107430934906006,,
25,25,,,3.7057623863220215
25,25,2.0733377933502197,,
26,26,,,4.046978950500488
26,26,2.042133092880249,,
27,27,,,4.36522102355957
27,27,2.019313335418701,,
28,28,,,4.650696754455566
28,28,2.0036394596099854,,
29,29,,,4.904594421386719
29,29,1.992066502571106,,
30,30,,,5.130937099456787
30,30,1.9827983379364014,,
31,31,,,5.3342671394348145
31,31,1.9751993417739868,,
32,32,,,5.5187602043151855
32,32,1.9692084789276123,,
33,33,,,5.687612533569336
33,33,1.964904546737671,,
34,34,,,5.842872142791748
34,34,1.9621801376342773,,
35,35,,,5.985961437225342
35,35,1.9605865478515625,,
36,36,,,6.118195056915283
36,36,1.9594894647598267,,
37,37,,,6.240924835205078
37,37,1.9584026336669922,,
38,38,,,6.355434417724609
38,38,1.9571598768234253,,
39,39,,,6.462726593017578
39,39,1.9558435678482056,,
40,40,,,6.563556671142578
40,40,1.9546222686767578,,
41,41,,,6.658719062805176
41,41,1.9536248445510864,,
42,42,,,6.748536109924316
42,42,1.9528977870941162,,
43,43,,,6.832868576049805
43,43,1.952391266822815,,
44,44,,,6.9115142822265625
44,44,1.9519920349121094,,
45,45,,,6.984593391418457
45,45,1.9515868425369263,,
46,46,,,7.052597999572754
46,46,1.951117753982544,,
47,47,,,7.116183280944824
47,47,1.9506062269210815,,
48,48,,,7.175919532775879
48,48,1.9501333236694336,,
49,49,,1.9497840404510498,
49,49,,,7.232178211212158
49,49,1.9497840404510498,,
50,50,,,7.28514289855957
50,50,1.9495909214019775,,
51,51,,,7.334895133972168
51,51,1.9495152235031128,,
52,52,,,7.381486892700195
52,52,1.9494677782058716,,
53,53,,,7.424992561340332
53,53,1.9493619203567505,,
54,54,,,7.465582370758057
54,54,1.9491549730300903,,
55,55,,,7.503585338592529
55,55,1.9488683938980103,,
56,56,,,7.539471626281738
56,56,1.9485739469528198,,
57,57,,,7.573733806610107
57,57,1.9483520984649658,,
58,58,,,7.606762886047363
58,58,1.948248267173767,,
59,59,,,7.638785362243652
59,59,1.9482454061508179,,
60,60,,,7.669884204864502
60,60,1.9482747316360474,,
61,61,,,7.7000532150268555
61,61,1.9482638835906982,,
62,62,,,7.729246616363525
62,62,1.948179006576538,,
63,63,,,7.75738525390625
63,63,1.9480394124984741,,
64,64,,,7.78437614440918
64,64,1.9478925466537476,,
65,65,,,7.810155868530273
65,65,1.9477789402008057,,
66,66,,,7.834729194641113
66,66,1.9477125406265259,,
67,67,,,7.858182907104492
67,67,1.94768226146698,,
68,68,,,7.880649566650391
68,68,1.9476677179336548,,
69,69,,,7.902273178100586
69,69,1.9476481676101685,,
70,70,,,7.923168182373047
70,70,1.9476126432418823,,
71,71,,,7.943393230438232
71,71,1.9475611448287964,,
72,72,,,7.962945461273193
72,72,1.9475027322769165,,
73,73,,,7.981784343719482
73,73,1.947449803352356,,
74,74,,,7.999875068664551
74,74,1.9474090337753296,,
75,75,,,8.017229080200195
75,75,1.9473778009414673,,
76,76,,,8.033935546875
76,76,1.9473503828048706,,
77,77,,,8.050149917602539
77,77,1.947322964668274,,
78,78,,,8.066049575805664
78,78,1.9472962617874146,,
79,79,,,8.081786155700684
79,79,1.9472723007202148,,
80,80,,,8.097450256347656
80,80,1.9472506046295166,,
81,81,,,8.113046646118164
81,81,1.9472285509109497,,
82,82,,,8.128519058227539
82,82,1.9472033977508545,,
83,83,,,8.14377212524414
83,83,1.9471749067306519,,
84,84,,,8.158700942993164
84,84,1.9471458196640015,,
85,85,,,8.173233032226562
85,85,1.9471217393875122,,
86,86,,,8.187335014343262
86,86,1.9471043348312378,,
87,87,,,8.201017379760742
87,87,1.9470921754837036,,
88,88,,,8.21432113647461
88,88,1.9470808506011963,,
89,89,,,8.227296829223633
89,89,1.9470655918121338,,
90,90,,,8.239995956420898
90,90,1.9470453262329102,,
91,91,,,8.252456665039062
91,91,1.947022795677185,,
92,92,,,8.26471996307373
92,92,1.9470020532608032,,
93,93,,,8.276819229125977
93,93,1.9469859600067139,,
94,94,,,8.288800239562988
94,94,1.9469741582870483,,
95,95,,,8.300708770751953
95,95,1.9469640254974365,,
96,96,,,8.312583923339844
96,96,1.9469528198242188,,
97,97,,,8.324438095092773
97,97,1.9469388723373413,,
98,98,,,8.33625316619873
98,98,1.9469228982925415,,
99,99,,1.9469071626663208,
99,99,,,8.347984313964844
99,99,1.9469071626663208,,
100,100,,,8.359570503234863
100,100,1.9468936920166016,,
101,101,,,8.370959281921387
101,101,1.9468826055526733,,
102,102,,,8.382122993469238
102,102,1.9468727111816406,,
103,103,,,8.393062591552734
103,103,1.9468621015548706,,
104,104,,,8.403813362121582
104,104,1.9468506574630737,,
105,105,,,8.414417266845703
105,105,1.9468387365341187,,
106,106,,,8.424915313720703
106,106,1.9468272924423218,,
107,107,,,8.435333251953125
107,107,1.9468166828155518,,
108,108,,,8.445684432983398
108,108,1.9468066692352295,,
109,109,,,8.455974578857422
109,109,1.9467967748641968,,
110,110,,,8.466207504272461
110,110,1.9467871189117432,,
111,111,,,8.476385116577148
111,111,1.94677734375,,
112,112,,,8.486515045166016
112,112,1.9467675685882568,,
113,113,,,8.496591567993164
113,113,1.946758508682251,,
114,114,,,8.50660228729248
114,114,1.9467498064041138,,
115,115,,,8.516523361206055
115,115,1.9467411041259766,,
116,116,,,8.526330947875977
116,116,1.9467321634292603,,
117,117,,,8.536014556884766
117,117,1.9467235803604126,,
118,118,,,8.545578002929688
118,118,1.9467147588729858,,
119,119,,,8.55504322052002
119,119,1.9467066526412964,,
120,120,,,8.564443588256836
120,120,1.9466989040374756,,
121,121,,,8.573809623718262
121,121,1.9466909170150757,,
122,122,,,8.583152770996094
122,122,1.9466831684112549,,
123,123,,,8.592463493347168
123,123,1.946675419807434,,
124,124,,,8.601719856262207
124,124,1.9466677904129028,,
125,125,,,8.610896110534668
125,125,1.9466601610183716,,
126,126,,,8.619976043701172
126,126,1.9466530084609985,,
127,127,,,8.628962516784668
127,127,1.9466463327407837,,
128,128,,,8.637874603271484
128,128,1.9466391801834106,,
129,129,,,8.646736145019531
129,129,1.9466323852539062,,
130,130,,,8.655570030212402
