epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,2.329336643218994,
0,99,,2.313469886779785,
0,149,,2.3007373809814453,
0,199,,2.303178548812866,
0,249,,2.3087735176086426,
0,299,,2.306453227996826,
0,349,,2.293994188308716,
0,399,,2.3056697845458984,
0,437,,,2.3034403324127197
0,437,2.303584575653076,,
1,449,,2.2982795238494873,
1,499,,2.2996861934661865,
1,549,,2.3040316104888916,
1,599,,2.3047125339508057,
1,649,,2.2995810508728027,
1,699,,2.299844264984131,
1,749,,2.302745819091797,
1,799,,2.299145221710205,
1,849,,2.2980287075042725,
1,875,,,2.304169178009033
1,875,2.3032708168029785,,
2,899,,2.3022408485412598,
2,949,,2.3003170490264893,
2,999,,2.3116843700408936,
2,1049,,2.303147077560425,
2,1099,,2.3001973628997803,
2,1149,,2.2994322776794434,
2,1199,,2.301950454711914,
2,1249,,2.30324649810791,
2,1299,,2.30118727684021,
2,1313,,,2.303551197052002
2,1313,2.303225040435791,,
3,1349,,2.302701234817505,
3,1399,,2.3006608486175537,
3,1449,,2.305558681488037,
3,1499,,2.3038182258605957,
3,1549,,2.3019511699676514,
3,1599,,2.307511806488037,
3,1649,,2.3020620346069336,
3,1699,,2.30786395072937,
3,1749,,2.302565574645996,
3,1751,,,2.3035073280334473
3,1751,2.30303692817688,,
4,1799,,2.3045332431793213,
4,1849,,2.296293020248413,
4,1899,,2.3088433742523193,
4,1949,,2.301503896713257,
4,1999,,2.303368091583252,
4,2049,,2.3034372329711914,
4,2099,,2.3055076599121094,
4,2149,,2.3022820949554443,
4,2189,,,2.3030595779418945
4,2189,2.3030409812927246,,
5,2199,,2.3004813194274902,
5,2249,,2.3061232566833496,
5,2299,,2.3053250312805176,
5,2349,,2.3037519454956055,
5,2399,,2.300868272781372,
5,2449,,2.3031086921691895,
5,2499,,2.3028957843780518,
5,2549,,2.300447702407837,
5,2599,,2.308175802230835,
5,2627,,,2.303694725036621
5,2627,2.302997589111328,,
6,2649,,2.306170701980591,
6,2699,,2.3028924465179443,
6,2749,,2.309816598892212,
6,2799,,2.2994136810302734,
6,2849,,2.3018248081207275,
6,2899,,2.301621913909912,
6,2949,,2.3093745708465576,
6,2999,,2.3071975708007812,
6,3049,,2.3024795055389404,
6,3065,,,2.3031413555145264
6,3065,2.3029961585998535,,
7,3099,,2.299968719482422,
7,3149,,2.3052663803100586,
7,3199,,2.299776792526245,
7,3249,,2.3058605194091797,
7,3299,,2.301065444946289,
7,3349,,2.3075969219207764,
7,3399,,2.3073618412017822,
7,3449,,2.3043830394744873,
7,3499,,2.3001813888549805,
7,3503,,,2.303278923034668
7,3503,2.302924633026123,,
8,3549,,2.3015248775482178,
8,3599,,2.3052940368652344,
8,3649,,2.302088499069214,
8,3699,,2.3066792488098145,
8,3749,,2.2971887588500977,
8,3799,,2.304661989212036,
8,3849,,2.3045382499694824,
8,3899,,2.2995059490203857,
8,3941,,,2.3039231300354004
8,3941,2.3028151988983154,,
9,3949,,2.2934536933898926,
9,3999,,2.2925240993499756,
9,4049,,2.3065412044525146,
9,4099,,2.302701473236084,
9,4149,,2.3006136417388916,
9,4199,,2.299299716949463,
9,4249,,2.3035480976104736,
9,4299,,2.299844264984131,
9,4349,,2.3010566234588623,
9,4379,,,2.3034260272979736
9,4379,2.3030238151550293,,
