epoch,step,val_loss
0,0,1.1495695114135742
1,1,1.1547359228134155
2,2,1.1591452360153198
3,3,1.162989616394043
4,4,1.1667375564575195
5,5,1.1707028150558472
6,6,1.1751738786697388
7,7,1.1802090406417847
8,8,1.1856528520584106
9,9,1.191296100616455
