epoch,step,train_loss,val_loss
0,49,1.839089035987854,
0,99,1.846508502960205,
0,149,1.8794465065002441,
0,199,1.9099334478378296,
0,249,1.6828023195266724,
0,299,1.7230730056762695,
0,349,1.6866343021392822,
0,399,1.7289789915084839,
0,449,1.8178820610046387,
0,499,1.882586121559143,
0,549,1.7747985124588013,
0,599,2.2855939865112305,
0,649,1.7703434228897095,
0,699,1.9388034343719482,
0,749,1.7301456928253174,
0,799,2.0441133975982666,
0,849,1.7843352556228638,
0,899,1.780704140663147,
0,949,1.7247499227523804,
0,999,2.0935580730438232,
0,1049,1.7192184925079346,
0,1099,1.869191288948059,
0,1149,1.6204464435577393,
0,1199,1.6112771034240723,
0,1249,2.0494754314422607,
0,1299,2.1695306301116943,
0,1349,1.4931257963180542,
0,1399,1.8775430917739868,
0,1449,1.801988124847412,
0,1499,1.8444832563400269,
0,1549,1.6388365030288696,
0,1599,1.7491419315338135,
0,1649,1.730859398841858,
0,1699,1.797964334487915,
0,1749,1.7535514831542969,
0,1799,1.7318757772445679,
0,1849,1.9299482107162476,
0,1899,1.695364236831665,
0,1949,1.6437876224517822,
0,1999,1.716253399848938,
0,2049,1.8909906148910522,
0,2099,1.7921591997146606,
0,2149,1.766878604888916,
0,2199,1.9160102605819702,
0,2249,1.7614891529083252,
0,2299,1.6848371028900146,
0,2349,1.5509980916976929,
0,2399,2.0363874435424805,
0,2449,1.89485764503479,
0,2499,1.6051976680755615,
0,2549,1.846653938293457,
0,2599,1.7509031295776367,
0,2649,1.669598937034607,
0,2699,1.7752480506896973,
0,2749,1.7054556608200073,
0,2799,1.7170658111572266,
0,2849,2.0107479095458984,
0,2899,1.7059231996536255,
0,2949,1.6113154888153076,
0,2999,1.7088338136672974,
0,3049,1.612682580947876,
0,3099,1.5045661926269531,
0,3149,1.7609449625015259,
0,3199,2.0296177864074707,
0,3249,1.4721081256866455,
0,3299,1.7478750944137573,
0,3349,1.8856258392333984,
0,3399,1.8126413822174072,
0,3449,1.7332876920700073,
0,3499,1.6770082712173462,
0,3549,1.9734294414520264,
0,3599,1.9945383071899414,
0,3649,1.6650089025497437,
0,3699,1.5529497861862183,
0,3749,1.7030303478240967,
0,3799,1.6892077922821045,
0,3849,1.7104816436767578,
0,3899,1.6604139804840088,
0,3949,1.7947959899902344,
0,3999,1.9863557815551758,
0,4049,1.7070629596710205,
0,4099,1.910050630569458,
0,4149,1.6741000413894653,
0,4199,1.6418883800506592,
0,4249,1.5737597942352295,
0,4299,1.6605299711227417,
0,4349,1.7410844564437866,
0,4399,1.7462362051010132,
0,4449,1.8107576370239258,
0,4499,1.7353057861328125,
0,4549,1.7083795070648193,
0,4599,1.5158603191375732,
0,4649,1.894591212272644,
0,4699,1.6409932374954224,
0,4749,1.96471107006073,
0,4799,1.7636382579803467,
0,4849,1.5091241598129272,
0,4899,1.6162992715835571,
0,4949,1.853738784790039,
0,4999,1.540652871131897,
0,5049,1.8241634368896484,
0,5099,1.6990450620651245,
0,5149,1.830500602722168,
